Lamp_ID,Zone,Lamp_Type,Lamp_Status,Operating_Hours,Energy_Consumption,Date_Time,Voltage,Current,Previous_Faults,Lamp_Age,Fault_Status
SL-1218,Tech Park Sector 5,LED (Smart),Active,3100.0,23.80,2026-08-15 21:00:00,227.3,0.33,0,13,0
SL-1219,Downtown Commercial,LED (Smart),Active,4360.0,33.50,2026-08-15 21:00:00,224.9,0.38,0,18,0
SL-1220,Harbor Waterfront,LED (Smart),Active,6980.0,31.80,2026-08-15 21:30:00,221.5,0.39,1,30,0
SL-1221,Suburban Ring,LED (Smart),Active,4260.0,28.40,2026-08-15 22:00:00,224.2,0.37,0,17,0
SL-1222,Industrial Corridor,Metal Halide,Active,14180.0,116.30,2026-08-15 22:00:00,217.9,1.36,3,62,1
SL-1223,North Residential,LED (Smart),Active,3600.0,27.20,2026-08-15 22:30:00,225.8,0.36,0,15,0
SL-1224,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,14480.0,113.00,2026-08-15 23:00:00,187.8,1.46,4,66,1
SL-1225,Tech Park Sector 5,Solar-Hybrid LED,Active,2050.0,12.00,2026-08-15 23:00:00,228.2,0.20,0,8,0
SL-1226,Downtown Commercial,LED (Smart),Active,5480.0,35.80,2026-08-15 23:30:00,223.9,0.39,0,22,0
SL-1227,Downtown Commercial,LED (Smart),Active,4240.0,33.10,2026-08-16 00:00:00,224.7,0.38,0,17,0
SL-1228,North Residential,LED (Smart),Active,2860.0,25.10,2026-08-16 00:00:00,225.6,0.35,0,11,0
SL-1229,Industrial Corridor,HPS (High Pressure Sodium),Active,12050.0,104.20,2026-08-16 00:30:00,218.9,1.26,2,54,1
SL-1230,Harbor Waterfront,LED (Smart),Active,7380.0,32.90,2026-08-16 01:00:00,222.0,0.40,1,32,0
SL-1231,Suburban Ring,Solar-Hybrid LED,Active,1740.0,12.30,2026-08-16 01:00:00,227.6,0.21,0,6,0
SL-1232,Tech Park Sector 5,LED (Smart),Active,3960.0,25.80,2026-08-16 01:30:00,226.5,0.35,0,18,0
SL-1233,Downtown Commercial,Metal Halide,Maintenance Required,16080.0,129.80,2026-08-16 02:00:00,184.5,1.77,4,70,1
SL-1234,North Residential,LED (Smart),Active,3720.0,27.70,2026-08-16 02:00:00,225.3,0.36,0,16,0
SL-1235,Industrial Corridor,Metal Halide,Active,13020.0,113.20,2026-08-16 02:30:00,220.8,1.33,2,57,1
SL-1236,Downtown Commercial,HPS (High Pressure Sodium),Active,10220.0,97.60,2026-08-16 03:00:00,222.8,1.20,1,47,0
SL-1237,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,13720.0,110.00,2026-08-16 03:00:00,192.0,1.42,3,61,1
SL-1238,Suburban Ring,LED (Smart),Active,5020.0,29.30,2026-08-16 03:30:00,224.0,0.37,0,23,0
SL-1239,Tech Park Sector 5,Solar-Hybrid LED,Active,2490.0,13.30,2026-08-16 04:00:00,227.7,0.22,0,10,0
SL-1240,Downtown Commercial,LED (Smart),Active,6080.0,36.50,2026-08-16 04:00:00,224.2,0.40,0,25,0
SL-1241,North Residential,LED (Smart),Active,3220.0,26.50,2026-08-16 04:30:00,225.9,0.36,0,13,0
SL-1242,Industrial Corridor,LED (Smart),Active,6420.0,37.70,2026-08-16 05:00:00,222.5,0.41,1,28,0
SL-1243,Harbor Waterfront,Metal Halide,Maintenance Required,16420.0,128.00,2026-08-16 05:00:00,186.8,1.72,5,72,1
SL-1244,Suburban Ring,HPS (High Pressure Sodium),Active,10480.0,93.80,2026-08-16 05:30:00,220.1,1.21,2,49,1
SL-1245,Downtown Commercial,LED (Smart),Active,4890.0,35.10,2026-08-16 06:00:00,224.4,0.39,0,21,0
SL-1246,Tech Park Sector 5,LED (Smart),Active,3260.0,24.20,2026-08-16 06:00:00,226.9,0.34,0,14,0
SL-1247,North Residential,LED (Smart),Active,2550.0,24.30,2026-08-16 06:30:00,226.2,0.35,0,10,0
SL-1248,Industrial Corridor,HPS (High Pressure Sodium),Maintenance Required,15250.0,115.60,2026-08-16 07:00:00,189.6,1.47,4,65,1
SL-1249,Downtown Commercial,HPS (High Pressure Sodium),Active,11780.0,105.10,2026-08-16 07:00:00,220.6,1.25,2,55,1
SL-1250,Harbor Waterfront,LED (Smart),Active,5780.0,31.20,2026-08-16 07:30:00,222.8,0.38,0,27,0
